0,0,0,0,0,0
0.02,-16.456,0,0,367.89,0.03454
0.04,-16.537,0,0,371.54,0.065638
0.06,-16.612,0,0,375.18,0.093481
0.08,-16.682,0,0,378.81,0.11828
0.1,-16.745,0,0,382.44,0.14028
0.12,-16.8,0,0,386.06,0.15971
0.14,-16.849,0,0,389.68,0.17682
0.16,-16.89,0,0,393.28,0.19184
0.18,-16.925,0,0,396.88,0.20499
0.2,-16.953,0,0,400.48,0.21649
0.22,-16.975,0,0,404.07,0.22653
0.24,-16.991,0,0,407.65,0.23528
0.26,-17.002,0,0,411.22,0.24291
0.28,-17.008,0,0,414.79,0.24955
0.3,-17.01,0,0,418.35,0.25534
0.32,-17.008,0,0,421.9,0.26038
0.34,-17.004,0,0,425.45,0.26477
0.36,-16.996,0,0,428.99,0.2686
0.38,-16.986,0,0,432.52,0.27194
0.4,-16.973,0,0,436.04,0.27486
0.42,-16.959,0,0,439.56,0.27741
0.44,-16.943,0,0,443.08,0.27965
0.46,-16.926,0,0,446.58,0.28162
0.48,-16.908,0,0,450.08,0.28335
0.5,-16.888,0,0,453.57,0.28488
0.52,-16.868,0,0,457.06,0.28623
0.54,-16.847,0,0,460.54,0.28743
0.56,-16.825,0,0,464.01,0.2885
0.58,-16.802,0,0,467.47,0.28945
0.6,-16.78,0,0,470.93,0.2903
0.62,-16.757,0,0,474.38,0.29106
0.64,-16.733,0,0,477.83,0.29175
0.66,-16.709,0,0,481.27,0.29238
0.68,-16.685,0,0,484.7,0.29295
0.7,-16.661,0,0,488.12,0.29347
0.72,-16.637,0,0,491.54,0.29394
0.74,-16.612,0,0,494.95,0.29438
0.76,-16.588,0,0,498.36,0.29479
0.78,-16.563,0,0,501.76,0.29517
0.8,-16.539,0,0,505.15,0.29552
0.82,-16.514,0,0,508.53,0.29586
0.84,-16.489,0,0,511.91,0.29617
0.86,-16.465,0,0,515.28,0.29647
0.88,-16.44,0,0,518.65,0.29675
0.9,-16.415,0,0,522.01,0.29702
0.92,-16.391,0,0,525.36,0.29728
0.94,-16.366,0,0,528.7,0.29753
0.96,-16.341,0,0,532.04,0.29777
0.98,-16.317,0,0,535.38,0.298
1,-16.292,0,0,538.7,0.29823
1.02,-16.268,0,0,542.02,0.29845
1.04,-16.244,0,0,545.33,0.29866
1.06,-16.219,0,0,548.64,0.29887
1.08,-16.195,0,0,551.94,0.29908
1.1,-16.171,0,0,555.23,0.29928
1.12,-16.147,0,0,558.52,0.29948
1.14,-16.123,0,0,561.8,0.29967
1.16,-16.099,0,0,565.07,0.29986
1.18,-16.075,0,0,568.34,0.30005
1.2,-16.051,0,0,571.6,0.30024
1.22,-16.027,0,0,574.86,0.30043
1.24,-16.003,0,0,578.11,0.30061
1.26,-15.98,0,0,581.35,0.30079
1.28,-15.956,0,0,584.58,0.30097
1.3,-15.933,0,0,587.81,0.30115
1.32,-15.909,0,0,591.04,0.30133
1.34,-15.886,0,0,594.25,0.3015
1.36,-15.863,0,0,597.46,0.30168
1.38,-15.839,0,0,600.67,0.30185
1.4,-15.816,0,0,603.86,0.30202
1.42,-15.793,0,0,607.05,0.3022
1.44,-15.77,0,0,610.24,0.30237
1.46,-15.747,0,0,613.42,0.30254
1.48,-15.724,0,0,616.59,0.30271
1.5,-15.702,0,0,619.76,0.30288
1.52,-15.679,0,0,622.92,0.30304
1.54,-15.656,0,0,626.07,0.30321
1.56,-15.634,0,0,629.22,0.30338
1.58,-15.611,0,0,632.36,0.30354
1.6,-15.589,0,0,635.49,0.30371
1.62,-15.566,0,0,638.62,0.30388
1.64,-15.544,0,0,641.74,0.30404
1.66,-15.522,0,0,644.86,0.3042
1.68,-15.5,0,0,647.97,0.30437
1.7,-15.478,0,0,651.07,0.30453
1.72,-15.456,0,0,654.17,0.30469
1.74,-15.434,0,0,657.26,0.30485
1.76,-15.412,0,0,660.34,0.30502
1.78,-15.39,0,0,663.42,0.30518
1.8,-15.369,0,0,666.5,0.30534
1.82,-15.347,0,0,669.56,0.3055
1.84,-15.325,0,0,672.62,0.30566
1.86,-15.304,0,0,675.68,0.30582
1.88,-15.282,0,0,678.72,0.30598
1.9,-15.261,0,0,681.77,0.30613
1.92,-15.24,0,0,684.8,0.30629
1.94,-15.219,0,0,687.83,0.30645
1.96,-15.197,0,0,690.86,0.30661
1.98,-15.176,0,0,693.87,0.30676
2,-15.155,0,0,696.88,0.30692
2.02,-15.134,0,0,699.89,0.30708
2.04,-15.113,0,0,702.89,0.30723
2.06,-15.093,0,0,705.88,0.30739
2.08,-15.072,0,0,708.87,0.30754
2.1,-15.051,0,0,711.85,0.3077
2.12,-15.031,0,0,714.83,0.30785
2.14,-15.01,0,0,717.8,0.308
2.16,-14.99,0,0,720.76,0.30816
2.18,-14.969,0,0,723.72,0.30831
2.2,-14.949,0,0,726.67,0.30846
2.22,-14.929,0,0,729.61,0.30861
2.24,-14.908,0,0,732.55,0.30877
2.26,-14.888,0,0,735.49,0.30892
2.28,-14.868,0,0,738.41,0.30907
2.3,-14.848,0,0,741.33,0.30922
2.32,-14.828,0,0,744.25,0.30937
2.34,-14.808,0,0,747.16,0.30952
2.36,-14.788,0,0,750.06,0.30967
2.38,-14.769,0,0,752.96,0.30982
2.4,-14.749,0,0,755.85,0.30997
2.42,-14.729,0,0,758.74,0.31012
2.44,-14.71,0,0,761.62,0.31026
2.46,-14.69,0,0,764.49,0.31041
2.48,-14.671,0,0,767.36,0.31056
2.5,-14.651,0,0,770.22,0.31071
2.52,-14.632,0,0,773.08,0.31085
2.54,-14.613,0,0,775.93,0.311
