time,adxl_acceleration_x,adxl_acceleration_y,adxl_acceleration_z,mpl_altitude,mpu_acceleration_x,mpu_acceleration_y,mpu_acceleration_z,mpu_gyroscope_x,mpu_gyroscope_y,mpu_gyroscope_z,mpu_magnetometer_x,mpu_magnetometer_y,mpu_magnetometer_z
1605249388.9577,-3.6088,-31.5382,40.1288,0.6250,-0.0740,-0.2720,0.6620,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6710
1605249388.9996,-3.6088,-31.4597,40.1288,1.0000,-0.0750,-0.2730,0.6600,31.0680,-35.6120,-14.2180,-6.8970,-9.7660,0.6710
1605249389.0325,-3.6481,-31.5774,40.1288,1.3750,-0.0760,-0.2730,0.6580,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.7320
1605249389.0588,-3.4912,-31.5382,40.1288,2.8750,-0.0760,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6100
1605249389.1012,-3.6481,-31.4205,40.1288,0.1875,-0.0750,-0.2750,0.6600,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.6710
1605249389.1236,-3.8442,-31.6951,40.1288,-2.8125,-0.0740,-0.2750,0.6620,30.3700,-35.6120,-14.5570,-6.7750,-9.7660,0.7320
1605249389.1526,-4.0011,-31.4597,40.1288,2.7500,-0.0750,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.5490
1605249389.1842,-3.5304,-31.3421,40.1288,-0.5000,-0.0750,-0.2740,0.6620,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.5490
1605249389.2220,-3.5696,-31.6166,40.1288,-0.0625,-0.0750,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.7140,-9.8270,0.6100
1605249389.2538,-3.4127,-31.3813,40.1288,1.0000,-0.0740,-0.2740,0.6620,31.0680,-35.9640,-14.8950,-6.8360,-9.8270,0.6100
1605249389.2851,-3.7658,-31.7343,40.1288,2.4375,-0.0730,-0.2750,0.6620,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6100
1605249389.3161,-3.6873,-31.5382,40.1288,-0.2500,-0.0740,-0.2730,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.8880,0.6100
1605249389.3493,-3.5696,-31.5774,40.1288,-0.1250,-0.0760,-0.2740,0.6600,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.6710
1605249389.3822,-3.8442,-31.4990,40.1288,0.3750,-0.0760,-0.2740,0.6620,29.8460,-33.6720,-14.0490,-6.8360,-9.8270,0.6100
1605249389.4087,-3.7265,-31.4205,40.1288,-1.6250,-0.0740,-0.2750,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.5490
1605249389.4415,-3.7658,-31.4205,40.1288,-0.6875,-0.0750,-0.2750,0.6620,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249389.4848,-3.6088,-31.5382,40.1288,-0.4375,-0.0730,-0.2730,0.6630,0.0000,0.0000,0.0000,-6.9580,-9.7660,0.6710
1605249389.5175,-3.6481,-31.5774,40.1288,-1.4375,-0.0750,-0.2760,0.6630,29.1480,-36.1410,-13.7110,-6.9580,-9.7660,0.6100
1605249389.5446,-3.8050,-31.6951,40.1288,-0.1875,-0.0740,-0.2730,0.6620,0.0000,0.0000,0.0000,-6.8360,-9.7050,0.6100
1605249389.5760,-3.5696,-31.5774,40.1288,0.6250,-0.0750,-0.2750,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.7320
1605249389.6051,-3.8442,-31.6951,40.1288,-1.6250,-0.0750,-0.2770,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6100
1605249389.6363,-3.6481,-31.4990,40.1288,-0.0625,-0.0760,-0.2730,0.6620,29.6720,-35.2590,-12.8640,-6.8970,-9.8270,0.6100
1605249389.6741,-3.6873,-31.4597,40.1288,1.6250,-0.0760,-0.2740,0.6600,0.0000,0.0000,0.0000,-6.9580,-9.8270,0.5490
1605249389.7079,-3.7265,-31.5382,40.1288,1.7500,-0.0740,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.6100
1605249389.7371,-3.5696,-31.6166,40.1288,-2.0625,-0.0730,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.6100
1605249389.7622,-3.5696,-31.5774,40.1288,2.8125,-0.0740,-0.2750,0.6640,29.6720,-36.3170,-13.2030,-6.8970,-9.7660,0.5490
1605249389.7805,-3.8050,-31.6951,40.1288,1.1250,-0.0750,-0.2720,0.6560,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.7320
1605249389.8141,-3.7265,-31.5774,40.1288,0.5000,-0.0750,-0.2720,0.6600,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.6710
1605249389.8570,-3.6088,-31.5774,40.1288,0.8125,-0.0730,-0.2730,0.6580,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6710
1605249389.8997,-3.7658,-31.3421,40.1288,1.7500,-0.0730,-0.2750,0.6620,28.7990,-34.3780,-13.7110,-6.8360,-9.8270,0.6100
1605249389.9256,-4.0011,-31.6559,40.1288,0.3750,-0.0750,-0.2720,0.6630,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.5490
